Movie Name,Stars,Genre,Release Year,MPAA Rating
xXx: Return of Xander Cage,2,Action/Adventure,2017,PG-13
Heathers,4,Comedy,1989,R
Harry Potter and the Deathly Hallows: Part 1,4,Fantasy,2010,PG-13
The Notebook,3,Romance,2004,PG-13
Apollo 13,5,Drama,1995,PG
Finding Dory,5,Family and Kids,2016,PG
Bad Boys: Ride or Die,2,Action/Adventure,2024,R
Spirited Away,5,Anime,2002,PG
Matilda,4,Family and Kids,1996,PG
Ace Ventura: Pet Detective,1,Comedy,1994,PG-13
Happy Gilmore,3,Comedy,1996,PG-13
The Imitation Game,4,Drama,2014,PG-13
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",4,Family and Kids,2005,PG
Kubo and the Two Strings,4,Family and Kids,2016,PG
Spy,4,Comedy,2015,R
Reservoir Dogs,4,Drama,1992,R
Now You See Me,3,Thriller,2013,PG-13
The NeverEnding Story,4,Fantasy,1984,PG
The Outsiders,4,Drama,1983,PG-13
Wish,3,Family and Kids,2023,PG
Lucy,4,Action/Adventure,2014,R
National Treasure,3,Action/Adventure,2004,PG
Fly Me to the Moon,4,Comedy,2024,PG-13
Spaceballs,4,Comedy,1987,PG
Gifted,3,Drama,2017,PG-13
American Sniper,4,Drama,2014,R
Zombieland,4,Horror,2009,R
Child's Play (1988),2,Horror,2008,R
Iron Man 2,4,Action/Adventure,2010,PG-13
Sixteen Candles,2,Comedy,1984,PG
High School Musical,4,Musical,2006,NR
Saw,3,Horror,2004,R
Diary of a Wimpy Kid,4,Family and Kids,2010,PG
Godzilla,3,Science Fiction,2014,PG-13
Descendants: The Rise of Red,3,Family and Kids,2024,NR
Superbad,4,Comedy,2007,R
The Pursuit of Happyness,4,Drama,2006,PG-13
The Babadook,4,Horror,2014,NR
Fifty Shades Darker,2,Drama,2017,R
The Blind Side,3,Drama,2009,PG-13
Despicable Me 3,3,Family and Kids,2017,PG
Tangled,5,Family and Kids,2010,PG
Valerian and the City of a Thousand Planets,3,Science Fiction,2017,PG-13
Ted,2,Comedy,2012,R
Out of My Mind,4,Drama,2024,NR
Creed,3,Drama,2015,PG-13
The Fast and the Furious,3,Thriller,2001,PG-13
The Bourne Identity,4,Action/Adventure,2002,PG-13
Iron Man 3,3,Action/Adventure,2013,PG-13
Insidious,4,Horror,2011,PG-13
The Hobbit: An Unexpected Journey,3,Fantasy,2012,PG-13
Thelma the Unicorn,4,Family and Kids,2024,PG
Up,5,Family and Kids,2009,PG
The Ministry of Ungentlemanly Warfare,3,Action/Adventure,2024,R
Nerve,3,Thriller,2016,PG-13
Independence Day,4,Science Fiction,1996,PG-13
Storks,4,Family and Kids,2016,PG
Assassin's Creed,1,Action/Adventure,2016,PG-13
The Sisterhood of the Traveling Pants,4,Drama,2005,PG
Beauty and the Beast,5,Family and Kids,1991,G
Star Wars: Episode III - Revenge of the Sith,4,Science Fiction,2005,PG-13
The Iron Giant,4,Family and Kids,1999,PG
Airplane!,4,Comedy,1980,PG
Song of the Sea,4,Family and Kids,2014,PG
The 5th Wave,2,Science Fiction,2016,PG-13
The Ring,3,Horror,2002,PG-13
Whiplash,4,Drama,2014,R
The Bourne Identity,4,Action/Adventure,2002,PG-13
Iron Man 3,3,Action/Adventure,2013,PG-13
Insidious,4,Horror,2011,PG-13
The Hobbit: An Unexpected Journey,3,Fantasy,2012,PG-13
Thelma the Unicorn,4,Family and Kids,2024,PG
Up,5,Family and Kids,2009,PG
The Ministry of Ungentlemanly Warfare,3,Action/Adventure,2024,R
Nerve,3,Thriller,2016,PG-13
Independence Day,4,Science Fiction,1996,PG-13
Storks,4,Family and Kids,2016,PG
Assassin's Creed,1,Action/Adventure,2016,PG-13
The Sisterhood of the Traveling Pants,4,Drama,2005,PG
Beauty and the Beast,5,Family and Kids,1991,G
Star Wars: Episode III - Revenge of the Sith,4,Science Fiction,2005,PG-13
The Iron Giant,4,Family and Kids,1999,PG
Airplane!,4,Comedy,1980,PG
Song of the Sea,4,Family and Kids,2014,PG
The 5th Wave,2,Science Fiction,2016,PG-13
The Ring,3,Horror,2002,PG-13
Whiplash,4,Drama,2014,R
Wicked,4,Musical,2024,PG
Deadpool & Wolverine,4,Action/Adventure,2024,R
Red One,3,Action/Adventure,2024,PG-13
Inside Out 2,4,Family and Kids,2024,PG
Nosferatu,4,Horror,2024,R
IF,4,Family and Kids,2024,PG
Captain America: Brave New World,3,Action/Adventure,2025,PG-13
Gladiator II,3,Action/Adventure,2024,R
Deadpool,4,Action/Adventure,2016,R
XXX,2,Action/Adventure,2002,PG-13
Mufasa: The Lion King,3,Family and Kids,2024,PG
Moana 2,4,Family and Kids,2024,PG
Twisters,3,Action/Adventure,2024,PG-13
The Wild Robot,5,Family and Kids,2024,PG
A Complete Unknown,3,Drama,2024,R
Snow White (2025),3,Family and Kids,2025,PG
Dog Man,4,Family and Kids,2025,PG
Jaws,4,Horror,1975,PG
It Ends with Us,4,Romance,2024,PG-13
Sonic the Hedgehog 3,4,Family and Kids,2024,PG
